Time,Time Abs,Time diff,Move,Comment,P1 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P2 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P3 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P4 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P
27.881,135995,407,P14 All On,"Before
-10 from this cell",ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
28.441,136471,476,"P23 All On
P14 All Off","Before
-10 from this cell
+10 from prev cell",ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
35.392,143624,7153,P23 Turn off fourths at each syllable start from btm,On,ALL_OFF,,,,,,,,,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0,ALL_OFF,,,,,,,,
,144100,476,P23 Lower Torso Off,,ALL_OFF,,,,,,,,,,1,1,0,0,1,0,1,0,,1,1,0,0,1,0,1,0,ALL_OFF,,,,,,,,
,144576,476,P23 P and Arms Off,,ALL_OFF,,,,,,,,,,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,ALL_OFF,,,,,,,,
,145052,476,P23 Head Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
37.5,145697,645,P14 On,"Before
(-10 from this cell)",ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
41.256,149457,3760,All On,"On
(+10 from prev cell)",ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
44.8,153148,3691,P3 Right Arm On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,0,1,0,0,0,0,0,0,ALL_OFF,,,,,,,,
,153624,476,"P3 Right Arm Off
P2 Right Arm On",,ALL_OFF,,,,,,,,,,0,1,0,0,0,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,154100,476,"P2 Right Arm Off
P4 Left Arm On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,1,0,0,0,0,0,0,0
,154576,476,"P4 Left Arm Off
P1 Left Arm On",,,1,0,0,0,0,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,155052,476,"P1 Left Arm Off
P3 Right Arm On",On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,0,1,0,0,0,0,0,0,ALL_OFF,,,,,,,,
,155290,238,"P3 Right Arm Off
P2 Right Arm On",,ALL_OFF,,,,,,,,,,0,1,0,0,0,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,155528,238,"P2 Right Arm Off
P4 Left Arm On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,1,0,0,0,0,0,0,0
